user_id,full_name,country,total_spent
931,Michael Walker,United Kingdom,249.95
525,Alexander Brown,Spain,239.93
313,Benjamin Hall,Canada,229.95
483,Elijah Evans,Germany,219.92
975,Sebastian Davies,Canada,189.95
850,Benjamin Wilson,Germany,179.96
534,Lucas Jones,United States,174.95
592,Jack Brown,Germany,164.96
167,Henry Roberts,United Kingdom,164.96
817,Noah Hall,United States,159.96
681,Michael Walker,United States,159.96
400,Benjamin Clarke,Spain,159.96
544,Noah Clarke,United Kingdom,159.96
171,Samuel Hall,Canada,159.96
150,Noah Johnson,United Kingdom,159.96
173,Elijah Wood,Germany,159.96
301,Benjamin Taylor,Canada,159.96
156,Oliver Wright,United Kingdom,159.96
912,Henry Johnson,Germany,159.96
253,Noah Evans,United Kingdom,159.96
778,Sebastian Smith,Germany,159.95
539,James Johnson,Spain,159.95
382,Mateo Williams,United Kingdom,159.95
500,Elijah Hall,Spain,149.97
239,Alexander Johnson,Spain,149.97
277,William Evans,Germany,149.97
384,Mateo Walker,United States,149.97
198,Lucas Robinson,Canada,149.97
552,Owen Taylor,Spain,144.96
769,Mateo Thompson,Germany,144.96
936,Henry Roberts,United States,144.96
287,Theodore Johnson,Spain,144.96
792,Daniel Robinson,Germany,144.96
786,Theodore Hall,Germany,139.96
494,Daniel Wood,United Kingdom,139.96
10,Liam Jackson,United Kingdom,139.96
219,James Davies,United Kingdom,139.95
599,Oliver Hall,Germany,139.95
636,Henry White,Spain,139.95
954,Sebastian Davies,Canada,129.97
452,Sebastian Walker,Germany,129.97
886,James Wright,United Kingdom,129.97
919,Noah Green,United Kingdom,129.97
918,Sebastian Evans,United States,129.97
221,Jack Evans,United Kingdom,129.97
761,Henry Brown,United Kingdom,129.97
409,William Clarke,Spain,129.97
215,Liam Smith,Spain,129.97
555,Benjamin Robinson,United States,129.97
87,Michael Clarke,United States,129.97
203,Jack Thompson,Spain,129.97
96,Owen White,Germany,129.97
880,Mateo Thompson,Spain,129.97
791,Theodore Clarke,Germany,124.96
767,Daniel Hall,United Kingdom,124.96
429,Jack Williams,Canada,124.96
305,Elijah Wilson,Germany,124.96
196,Alexander Wilson,Germany,124.96
519,Daniel Brown,Germany,124.95
979,Mateo Johnson,Spain,119.96
507,Benjamin Roberts,Germany,119.96
330,Noah Wright,Canada,119.96
964,Sebastian Smith,United States,119.96
379,Sebastian Taylor,United Kingdom,114.97
677,Jack Hall,Spain,114.97
717,Owen Brown,Germany,114.97
950,Daniel Evans,United States,114.97
951,James White,United States,114.97
948,Lucas Walker,Canada,114.97
753,Jack Smith,United States,114.97
937,Daniel Wright,Germany,114.97
629,Henry Thompson,United States,114.97
759,Jack Wilson,United Kingdom,114.97
909,Asher White,United Kingdom,114.97
915,Samuel Williams,Spain,114.97
742,Asher Wright,United Kingdom,109.97
248,Jack Taylor,United States,109.97
157,Lucas Brown,Germany,109.97
584,William Wright,United Kingdom,109.97
119,Lucas Robinson,Canada,109.97
281,Samuel Williams,Germany,109.97
484,Samuel Wright,Spain,109.97
188,Liam Jones,United States,109.97
470,Sebastian Taylor,Canada,109.97
180,Levi Roberts,Germany,109.97
312,Mateo Green,Spain,109.97
74,Daniel Davies,Canada,109.97
255,Liam Jones,United Kingdom,109.97
172,Oliver Williams,Spain,109.97
153,Alexander Jackson,United Kingdom,109.97
508,Liam Johnson,United States,109.97
644,Mateo Green,United States,109.97
120,Benjamin Evans,Spain,109.97
417,William Williams,Spain,109.97
809,Noah Evans,United Kingdom,109.96
789,Noah Jackson,Spain,109.96
984,Jack Taylor,Germany,109.96
341,Owen Jackson,United States,109.96
869,Owen Jackson,United Kingdom,109.96
424,Elijah Wood,United States,109.96
495,Owen Taylor,Canada,104.96
271,Daniel Taylor,Spain,104.96
465,Liam White,United States,104.96
774,Levi Johnson,United Kingdom,104.96
